#{"t_start": 1622666921.248959, "env_id": null}
r,l,t
54.220013,12,1.924555
39.241132,8,2.582181
38.726478,8,3.221063
42.405444,9,3.914506
29.421443,6,4.390328
54.315007,12,5.332885
44.208523,9,6.031156
82.041292,16,7.310785
54.003222,11,8.190298
44.322713,9,8.905922
39.37655,8,9.528488
64.049721,13,10.556806
39.350377,8,11.198846
83.640042,16,12.457781
48.465318,9,13.149704
78.674223,16,14.391142
39.473864,9,15.088786
59.231979,13,16.098585
49.407349,11,16.951592
59.153567,13,17.994981
81.346184,12,18.933297
39.290332,8,19.564851
34.400777,7,20.123564
44.383154,10,20.90117
49.228747,10,21.709351
59.035553,12,22.653431
91.614686,17,23.993397
39.392883,8,24.628167
44.519963,10,25.422498
85.92383,18,26.799433
59.281128,13,27.803053
49.229192,10,28.597626
58.582283,12,29.531721
56.571955,11,30.398264
168.313378,33,32.986496
49.259551,11,33.845087
49.203254,11,34.675933
39.340694,8,35.310623
39.493696,9,36.004198
34.502369,8,36.639578
52.851062,9,37.35126
70.984405,14,38.440849
68.811522,14,39.520036
113.102505,21,41.162461
39.22868,8,41.782771
44.308555,9,42.500823
34.456447,7,43.073941
128.869421,24,44.929384
51.428907,9,45.638742
44.300497,10,46.412848
65.098397,13,47.418967
67.846217,14,48.512998
61.127828,12,49.469179
59.205389,13,50.483337
64.030187,13,51.481011
96.730165,18,52.915026
502.73785,101,59.722657
73.986629,15,60.924116
53.539942,10,61.737152
78.859001,16,62.957337
68.399833,14,64.030682
71.857971,14,65.127197
54.284623,12,66.059312
62.394768,12,66.99313
69.212031,15,68.175893
46.46454,10,68.955805
54.192261,11,69.802602
39.461776,9,70.522687
39.475129,9,71.235515
39.364578,8,71.885015
44.277542,10,72.672827
39.365664,8,73.308154
44.311466,10,74.080052
54.195729,11,74.934929
73.132794,15,76.097509
52.540177,10,76.899115
101.047961,16,78.163364
59.13232,12,79.088118
54.101402,11,79.961674
67.940891,13,81.473683
73.737523,14,82.566666
44.40935,9,83.281766
49.234556,11,84.139652
66.169598,13,85.168888
49.260675,11,86.057302
39.37618,9,86.767568
44.369364,10,87.536014
57.988475,10,88.303332
78.686958,16,89.557519
44.226325,10,90.320031
54.152397,12,91.254222
59.051636,12,92.220127
151.333302,27,94.389612
49.207263,10,95.156597
